trial,name,observing,influencing,vote,is_mentor,role,follow_proportion,is_mentee,n_votes,outcome,
1,Robin,0,0,T,0,independent,N/A,0,5,pass,
1,Avery,0,0,T,0,independent,N/A,0,5,pass,
1,Sage,0,0,T,0,independent,N/A,0,5,pass,
1,Hayden,0,0,T,0,independent,N/A,0,5,pass,
1,River,0,0,T,0,independent,N/A,0,5,pass,
2,Jordan,0,0,T,0,independent,N/A,0,3,pass,
2,Cameron,0,0,T,0,independent,N/A,0,3,pass,
2,Harley,0,0,T,0,independent,N/A,0,3,pass,
2,Lake,0,0,F,0,independent,N/A,0,3,pass,
2,Noah,0,0,F,0,independent,N/A,0,3,pass,
3,Cameron,0,0,F,0,independent,N/A,0,4,fail,
3,Ari,0,0,F,0,independent,N/A,0,4,fail,
3,Grey,0,0,T,0,independent,N/A,0,4,fail,
3,Noah,0,0,F,0,independent,N/A,0,4,fail,
3,Sunny,0,0,F,0,independent,N/A,0,4,fail,
4,Brook,1,0,F,0,mentee,100,1,5,fail,
4,Phoenix,0,1,F,1,mentor,100,0,5,fail,
4,Kirby,0,0,F,0,independent,100,0,5,fail,
4,Quinn,0,0,F,0,independent,100,0,5,fail,
4,Presley,0,0,F,0,independent,100,0,5,fail,
5,Sasha,1,0,T,0,mentee,100,1,4,pass,
5,Bryce,0,1,T,1,mentor,100,0,4,pass,
5,Kris,0,0,T,0,independent,100,0,4,pass,
5,Chandler,0,0,T,0,independent,100,0,4,pass,
5,Jordan,0,0,F,0,independent,100,0,4,pass,
6,Cedar,0,0,T,0,independent,0,0,4,pass,
6,Kris,0,0,T,0,independent,0,0,4,pass,
6,Hunter,0,1,F,1,mentor,0,0,4,pass,
6,Whitney,1,0,T,0,mentee,0,1,4,pass,
6,Morgan,0,0,T,0,independent,0,0,4,pass,
7,Whitney,0,0,T,0,independent,0,0,4,pass,
7,London,0,1,T,1,mentor,0,0,4,pass,
7,Blake,0,0,T,0,independent,0,0,4,pass,
7,Alex,1,0,F,0,mentee,0,1,4,pass,
7,Max,0,0,T,0,independent,0,0,4,pass,
8,Max,1,0,T,0,mentee,100,1,3,pass,
8,Kirby,0,0,F,0,independent,100,0,3,pass,
8,Noah,0,1,T,1,mentor,100,0,3,pass,
8,Bryce,0,0,T,0,independent,100,0,3,pass,
8,Chandler,0,0,F,0,independent,100,0,3,pass,
9,Noah,0,1,T,1,mentor,100,0,3,fail,
9,Kris,0,0,F,0,independent,100,0,3,fail,
9,Lake,1,0,T,0,mentee,100,1,3,fail,
9,Quinn,0,0,F,0,independent,100,0,3,fail,
9,Cameron,0,0,F,0,independent,100,0,3,fail,
